seller-sku	asin1	price	quantity
DIVE-LG-16T90P-16-512-W11H	B08YD4BK11	999	38
E5-GYVJ-UMNL	B0883MTJSR	85	4
GAME-PS4-TITANFALL2	B01GKGVI8U	13.25	2
H5-4V7Q-J8BP	B0899L8GR1	168	29
HDD-TOSHIBA-25IN-7MM-54K-1TB-UL	B07D2XR1CS	29.99	8
HP-14-DK1022WM	B08HCMWMPS	369	30
HP-14-DQ0002DX	B08JWNVBK2	208	23
HP-14-DQ0011DX-TOUCH-4GB-128GB	B07WXQ4V3R	469	19
HP-14-DQ1038WM	B082DK8S8J	389	29
HP-14-DQ1038WM-8GB-128GB-MIX	B07KNLVRJ2	415	6
HP-14-DW1024WM-4GB-128GB	B08ZKY469Y	311	1
HP-14-FQ0032MS-R38128	B08QHH5BZR	411	10
HP-15-DW1023DX-MIX	B08B3X4L95	675	2
HP-15-DW3033DX-MIX1	B08K1RH6JJ	549	10
HP-15-EF1300WM-8GB-256GB-MIX	B0876K24XJ	454	1
HP-15-EF2127WM-UL	B09BMGCVZH	349	1
HP-15-EH0050WM	B09FG8PF14	499	5
HP-16-K0013DX-32GB-1TBSSD-W11P-K3	B0CNRHKG86	1249	9
HP-17-CN0065-32GB-1TBSSD-W10P-K2	B09MJQMK7Z	1199	33
HP-17-CN2047NR-FHD-32GB-1TBSSD-W11P-K1	B0C1F22Y9G	989	26
HP-17-CN2165-32GB-1TS-W10P-UL	B09MJQMK7Z	849	4
HP-17-CN2165CL-32GB-1TB-W11P-K	B09MJQ9P4W	1199	22
HP-17-CR0747NR-64GB-4TBSSD-W11P-K1	B0BS2GZZ8Z	1899	14
HP-17T-BY400-FHD-32GB-1TBSSD-W10P-USB	B097X2R8CX	1199	3
HP-27F-4K-MIX2	B07K4QDNVX	369	10
HP-2X-DD0010-W11P-PARENT	B0BYJ537YC	679	20
HP-CHRM-14-CA0023NR-UL	B07FNCJJ8V	109.98	2
HP-CHRM-14A-NA0020NR	B08529BZSQ	194	8
HP-ENVY-15-DR1070WM-I58256	B08996DKMJ	882.99	2
HP-LASERJET-PRO-M15W	B079QRKWLX	195	34
HP-PRINTER-M29W-SKU1	B07DLWM1JQ	218	40
I9-NQXP-08SL	B0876H4VHJ	649	4
INTEL-I3-10100-UL	B086MMRW87	85	10
INTEL-I5-10400-UL-SKU2	B0883NPQST	109.95	10
INTEL-OPTAIN-H10-16GB-256GB-SSD	B07RM5V4TF	29.99	69
INTEL-SSD-530-240GB-UL	B00SE5Y8SS	79	1
INTEL-i5-10400-NEW	B0883NPQST	175	1
LG-13U70P-R5-8GB-256GB	B08TCJPRSM	649	17
LG-16Z90P-I7-16GB-512GB+1TB-W11P-K2	B0BXMRXJ3W	1319	19
LG-GRAM-16T90P-2TB-W11H	B08SWK9HW4	1235	39
LG-GRAM-16T90Q-BLACK-512GB-HM	B0B64GTWPP	999	9
LG-GRAM-16Z90P-K-AAS8U1-UV	B08SW6BFWV	827	1
LG-MON-27MP59G-P	B06XFGCKL6	199	99
LNV--82HS00R9US-4GB-512GB-W10H-RATZK	B09XJN4Q3D	549	20
LNV--82HS00R9US-4GB-512GB-W11H-RATZK	B09XJP2M5N	549	41
LNV--82HS00RBUS-4GB-512GB-W10H-RATZK	B09XJN26WB	549	18
LNV--82HS00RBUS-4GB-512GB-W11H-RATZK	B09XJMVHVT	549	10
LNV--82HU00JWUS-16GB-512GB-W10H-RATZK	B09V11B43Z	879	20
LNV--82HU00JWUS-16GB-512GB-W11H-RATZK	B09TZZLRDQ	879	19
LNV--82HV0040US-8GB-512GB-W10H-V1	B0B415BP2H	729	20
LNV--82HV0040US-8GB-512GB-W11H-V1	B0B414NHVC	729	18
LNV--82R9000KUS-16GB-512GB-W10H-K1	B0B9R1SQCL	949	20
LNV--82R9000KUS-16GB-512GB-W11H-K1	B0B9R6N98V	949	20
LNV-81W0003QUS-UL	B0862269YP	469	1
LNV-81W1009EUS-8GB-256GB-UL	B08HHPNP42	420	1
LNV-81WR000DUS-20G-1T-W11P-V1	B09Y53DXP5	899	1
